"filename", "language", "JSON", "TypeScript", "JSON with Comments", "MS SQL", "TypeScript JSX", "JavaScript", "Markdown", "PowerShell", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\final-cta\FinalCTA.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 4, 37
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\impact-stats\ImpactCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 3, 36
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\impact-stats\StatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 2, 19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\ImpactInlineStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 2, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\OurStory.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\StoryContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 6, 41
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\StoryImageCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\trust-badges\BadgeItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 3, 19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\trust-badges\TrustBadges.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 4, 52
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 3, 10, 65
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\AdminTopBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 6, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\RecentActivity.tsx", "TypeScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 7, 94
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\StatsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\StatsGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 9, 15, 122
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentActionsMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 6, 52
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentPagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
