"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "MS SQL", "PowerShell", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 14, 79
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\AppointmentQueueSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 1, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\[id]\AppointmentsDetailsSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 5, 4, 53
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 304, 0, 0, 0, 0, 0, 20, 30, 354
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\page.tsx", "TypeScript JSX", 0, 0, 0, 131, 0, 0, 0, 0, 0, 7, 16, 154
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\availability\page.tsx", "TypeScript JSX", 0, 0, 0, 160, 0, 0, 0, 0, 0, 12, 24, 196
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\error.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\loading.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 10, 9, 90
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\earnings\page.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 6, 11, 105
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\layout.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 5, 12, 73
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\onboarding\page.tsx", "TypeScript JSX", 0, 0, 0, 204, 0, 0, 0, 0, 0, 11, 17, 232
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\page.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 10, 9, 90
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\prescriptions\page.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 4, 31
